OCCURRED_ON_DATE,Lat,Long,Merged_Offense_Group,TIME,TIME_PERIOD
2022-03-24 02:50:00,42.36416781086199,-71.05407040755179,Firearms and Weapons,02:50:00,NIGHT
2022-03-24 02:13:00,42.27305613875108,-71.07374288744731,Drugs and Alcohol,02:13:00,NIGHT
2022-03-24 02:06:00,42.35979037458775,-71.07078234449541,Theft and Robbery,02:06:00,NIGHT
2022-03-24 01:40:00,42.37809470725229,-71.05570176903531,Public Disturbances & Law Enforcement Actions,01:40:00,NIGHT
2022-03-24 01:29:00,42.33930415714226,-71.05160423007139,Public Disturbances & Law Enforcement Actions,01:29:00,NIGHT
2022-03-24 01:02:00,42.275817991609685,-71.13991259250876,Public Disturbances & Law Enforcement Actions,01:02:00,NIGHT
2022-03-24 00:57:00,42.32077767169351,-71.10553807885735,Theft and Robbery,00:57:00,NIGHT
2022-03-24 00:11:00,42.33555954081209,-71.07436363774369,Assault and Violence,00:11:00,NIGHT
2022-03-23 00:00:00,42.28885932282385,-71.05318268518751,Theft and Robbery,00:00:00,NIGHT
2022-03-21 00:00:00,42.33954198983014,-71.06940876967543,Assault and Violence,00:00:00,NIGHT
2022-03-16 00:00:00,42.25621592040216,-71.12401947329023,Assault and Violence,00:00:00,NIGHT
2022-03-23 02:48:00,42.30947615323506,-71.0580008807701,Public Disturbances & Law Enforcement Actions,02:48:00,NIGHT
2022-03-23 02:28:00,42.38051898817484,-71.04020596010983,Assault and Violence,02:28:00,NIGHT
2022-03-23 02:48:00,42.30658654910032,-71.06747888902795,Public Disturbances & Law Enforcement Actions,02:48:00,NIGHT
2022-03-23 00:59:00,42.39504158023912,-71.01017731687806,M/V related offenses,00:59:00,NIGHT
2022-03-23 00:46:00,42.37489398792148,-71.0391029597798,Assault and Violence,00:46:00,NIGHT
2022-03-23 00:10:00,42.32475508436321,-71.10425277159803,Drugs and Alcohol,00:10:00,NIGHT
2022-03-22 02:50:00,42.336466960596354,-71.14865601123378,M/V related offenses,02:50:00,NIGHT
2022-03-04 00:00:00,42.34128750439044,-71.05467932649397,M/V related offenses,00:00:00,NIGHT
2022-03-17 00:00:00,42.3708180467024,-71.03929078135145,Theft and Robbery,00:00:00,NIGHT
2022-03-22 00:00:00,42.340234082495314,-71.14800614129716,Public Disturbances & Law Enforcement Actions,00:00:00,NIGHT
2022-03-22 00:40:00,42.27587700195398,-71.07390196933856,M/V related offenses,00:40:00,NIGHT
2022-03-22 00:53:00,42.32614558734646,-71.0534914437945,M/V related offenses,00:53:00,NIGHT
2022-03-21 00:00:00,42.35266102715524,-71.05535696946441,Drugs and Alcohol,00:00:00,NIGHT
2022-03-21 00:00:00,42.29324869821247,-71.0711390099648,M/V related offenses,00:00:00,NIGHT
2022-03-21 00:30:00,42.35125901558118,-71.06009370518535,Vandalism and Disorderly Conduct,00:30:00,NIGHT
2022-03-03 00:00:00,42.25621592040216,-71.12401947329023,Assault and Violence,00:00:00,NIGHT
2022-03-21 00:00:00,42.34905600030506,-71.15049849975023,M/V related offenses,00:00:00,NIGHT
2022-03-18 00:18:00,42.37411597181765,-71.0622709628406,M/V related offenses,00:18:00,NIGHT
2022-02-24 00:00:00,42.29755532959655,-71.05970910242574,Assault and Violence,00:00:00,NIGHT
2022-03-18 00:00:00,42.33954198983014,-71.06940876967543,M/V related offenses,00:00:00,NIGHT
2022-03-18 00:00:00,42.34905600030506,-71.15049849975023,Theft and Robbery,00:00:00,NIGHT
2022-03-21 01:38:00,42.29755532959655,-71.05970910242574,M/V related offenses,01:38:00,NIGHT
2022-03-21 02:18:00,42.27661500705148,-71.08029831171804,Assault and Violence,02:18:00,NIGHT
2022-03-21 01:36:00,42.32610077210885,-71.10433335099734,Public Disturbances & Law Enforcement Actions,01:36:00,NIGHT
2022-03-21 01:37:00,42.267392494058,-71.10609585976854,Public Disturbances & Law Enforcement Actions,01:37:00,NIGHT
2022-03-21 01:35:00,42.38068627371562,-71.01513242425845,Public Disturbances & Law Enforcement Actions,01:35:00,NIGHT
