OCCURRED_ON_DATE,Lat,Long,Merged_Offense_Group,TIME,TIME_PERIOD
2022-03-23 21:26:00,42.33698515204087,-71.07258823205791,Assault and Violence,21:26:00,EVENING
2022-03-23 21:50:00,42.36068786991018,-71.05687293370812,Firearms and Weapons,21:50:00,EVENING
2022-03-23 21:19:00,42.27668389924565,-71.09240247904309,Drugs and Alcohol,21:19:00,EVENING
2022-03-23 21:20:00,42.32560047890809,-71.05761263931073,Public Disturbances & Law Enforcement Actions,21:20:00,EVENING
2022-03-23 21:13:00,42.35426247072015,-71.05883334162647,Theft and Robbery,21:13:00,EVENING
2022-03-23 20:51:00,42.28446742674232,-71.11183088758158,Public Disturbances & Law Enforcement Actions,20:51:00,EVENING
2022-03-23 20:57:00,42.32978736584397,-71.08324801319625,Vandalism and Disorderly Conduct,20:57:00,EVENING
2022-03-23 20:00:00,42.29755532959655,-71.05970910242574,M/V related offenses,20:00:00,EVENING
2022-03-23 20:46:00,42.31638000342132,-71.0869100531519,Drugs and Alcohol,20:46:00,EVENING
2022-03-23 20:17:00,42.35512339036804,-71.06087979851634,Theft and Robbery,20:17:00,EVENING
2022-03-23 20:39:00,42.35343383718778,-71.13786355191223,M/V related offenses,20:39:00,EVENING
2022-03-23 19:08:00,42.33855004174212,-71.10928999444177,M/V related offenses,19:08:00,EVENING
2022-03-23 18:53:00,42.29600750541133,-71.08387509148848,Drugs and Alcohol,18:53:00,EVENING
2022-03-23 19:25:00,42.28239131899864,-71.1297899464257,Public Disturbances & Law Enforcement Actions,19:25:00,EVENING
2022-03-23 19:15:00,42.30626248957589,-71.07633156648913,Drugs and Alcohol,19:15:00,EVENING
2022-03-22 21:00:00,42.34905600030506,-71.15049849975023,Theft and Robbery,21:00:00,EVENING
2022-03-23 19:14:00,42.28482576580488,-71.09137368938802,Drugs and Alcohol,19:14:00,EVENING
2022-03-22 21:30:00,42.33954198983014,-71.06940876967543,M/V related offenses,21:30:00,EVENING
2022-03-23 18:34:00,42.27957777566612,-71.06718851216208,Theft and Robbery,18:34:00,EVENING
2022-03-22 20:30:00,42.3575560087439,-71.05299155869439,M/V related offenses,20:30:00,EVENING
2022-03-16 18:30:00,42.33433863376125,-71.05199787989666,M/V related offenses,18:30:00,EVENING
2022-03-22 21:56:00,42.34779531138084,-71.13903960678721,Public Disturbances & Law Enforcement Actions,21:56:00,EVENING
2022-03-22 21:50:00,42.30344073232919,-71.06674607633853,Public Disturbances & Law Enforcement Actions,21:50:00,EVENING
2022-03-22 21:21:00,42.36388490475417,-71.06648399955013,Drugs and Alcohol,21:21:00,EVENING
2022-03-22 21:30:00,42.28515394033705,-71.09102185278633,Theft and Robbery,21:30:00,EVENING
2022-03-22 21:00:00,42.35196451342847,-71.04611291097456,Public Disturbances & Law Enforcement Actions,21:00:00,EVENING
2022-03-22 21:06:00,42.24124925533901,-71.12629907670339,Theft and Robbery,21:06:00,EVENING
2022-03-22 21:13:00,42.32272472919692,-71.08877862856163,Public Disturbances & Law Enforcement Actions,21:13:00,EVENING
2022-03-22 21:10:00,42.32270922185721,-71.09932316830728,Theft and Robbery,21:10:00,EVENING
2022-03-22 20:54:00,42.303565389046256,-71.07868147849382,M/V related offenses,20:54:00,EVENING
2022-03-22 21:00:00,42.29755532959655,-71.05970910242574,Public Disturbances & Law Enforcement Actions,21:00:00,EVENING
2022-03-22 20:46:00,42.25199080542519,-71.14506065790825,Drugs and Alcohol,20:46:00,EVENING
2022-03-22 19:59:00,42.3579111304501,-71.05530266716919,M/V related offenses,19:59:00,EVENING
2022-03-22 19:51:00,42.27580528290196,-71.07137354114451,Drugs and Alcohol,19:51:00,EVENING
2022-03-22 20:05:00,42.37663166813234,-71.05593195497872,Drugs and Alcohol,20:05:00,EVENING
2022-03-22 19:01:00,42.350959087945945,-71.0741278007508,Theft and Robbery,19:01:00,EVENING
2022-03-22 20:22:00,42.35602373388715,-71.06177615141587,Theft and Robbery,20:22:00,EVENING
2022-03-22 18:58:00,42.34748342366139,-71.1336315826262,Theft and Robbery,18:58:00,EVENING
