Station_Name,Lon,Lat,Station_ID,Passenger_Volume,Nearest_Police_Distance,Nearest_Fire_Distance,Nearest_Hospital_Distance,Betweenness Centrality,Crime_Index,Base_Attractiveness_Score_MIDDAY_BASE
Blandford Street,-71.10009323,42.34922874,14,0.05037,0.111079,0.123328,0.120817,0.44132,0.164363,0.130356853
Brandon Hall,-71.12883419,42.34002244,22,0.009425,0.099117,0.215556,0.146733,0.173607,0.031984,0.112086341
Boylston,-71.0645968,42.3529858,20,0.480935,0.053313,0.076632,0.039758,0.861547,0.844517,0.25693721999999997
Packards Corner,-71.12531664,42.35174607,76,0.028643,0.110463,0.086939,0.154754,0.278529,0.101118,0.102372271
Brookline Hills,-71.12645639,42.33128544,25,0.02846,0.052635,0.217465,0.164076,0.25311,0.011923,0.099860197
Brigham Circle,-71.10436652,42.3343322,23,0.013036,0.035088,0.057795,0.077699,0.146025,0.21002,0.063077139
Boston University Central,-71.1071882,42.35007803,16,0.047065,0.085278,0.16386,0.111271,0.397512,0.065898,0.116035128
Boston University East,-71.10431551,42.34972697,17,0.049697,0.136807,0.149951,0.148494,0.419686,0.097909,0.13980082900000002
Boston University West,-71.11336671,42.35082318,18,0.044617,0.069795,0.176727,0.145313,0.374797,0.033551,0.108680914
Brookline Village,-71.11690393,42.33258766,26,0.030357,0.047255,0.19171,0.080863,0.278529,0.044034,0.09426020099999999
Chestnut Hill,-71.16461742,42.32675787,29,0.021299,0.201771,0.282335,0.342697,0.173607,0.003144,0.17452225500000002
Chestnut Hill Avenue,-71.15288409,42.33835138,30,0.003244,0.150793,0.064815,0.09789,0.060032,0.066991,0.09102427099999998
Chiswick Road,-71.15099675,42.34059152,32,0.005019,0.133852,0.053143,0.074561,0.089237,0.091692,0.085240665
Cleveland Circle,-71.14899951,42.33623061,33,0.0,0.176631,0.09155,0.144355,0.0,0.057008,0.104134312
Copley,-71.07740165,42.35007244,36,0.200869,0.056506,0.072238,0.121331,1.0,0.680404,0.20675222599999998
Coolidge Corner,-71.12130073,42.34216468,35,0.012363,0.106826,0.187731,0.100194,0.22715,0.028962,0.11061393199999998
Dean Road,-71.14196716,42.33772891,38,0.00355,0.134867,0.131211,0.075653,0.060032,0.053814,0.098662776
Eliot,-71.21660769,42.31900258,40,0.012179,0.327604,0.528533,0.6183,0.089237,0.0,0.286247557
Englewood Avenue,-71.14562033,42.33697749,41,0.001285,0.158296,0.116048,0.100856,0.030287,0.05601,0.10331191899999997
Fairbanks Street,-71.13119299,42.33966169,42,0.008262,0.128136,0.189729,0.099268,0.146025,0.035397,0.114832222
Fenwood Road,-71.10591282,42.33361684,44,0.010099,0.04609,0.069179,0.038427,0.117902,0.19165,0.065149608
Fenway,-71.10428785,42.34535725,43,0.040027,0.102076,0.122152,0.06791,0.327745,0.153317,0.115217634
Government Center,-71.05939847,42.3595251,47,0.361956,0.025531,0.05682,0.076407,0.306111,0.847231,0.189433096
Griggs Street,-71.1346331,42.34871462,49,0.016831,0.101196,0.075322,0.085723,0.22715,0.154472,0.09434219999999999
Haymarket,-71.0578155,42.36211976,53,0.793072,0.017137,0.05712,0.084562,0.25311,0.706984,0.23674710999999998
Harvard Avenue,-71.13143807,42.35023368,51,0.019279,0.119005,0.078667,0.116837,0.25311,0.166077,0.106454613
Heath Street,-71.11032827,42.32827237,54,0.0,0.095978,0.142936,0.087996,0.0,0.124639,0.089051241
Hawes Street,-71.11145938,42.34480603,52,0.022217,0.10802,0.169111,0.094346,0.303407,0.057041,0.11553204600000001
Hynes Convention Center,-71.08734707,42.34799493,55,0.191689,0.018814,0.027857,0.155427,0.827474,0.493225,0.150334413
Kenmore,-71.09563663,42.34895474,59,0.042536,0.064142,0.074761,0.124047,0.99324,0.234559,0.139203319
Kent Street,-71.11435736,42.34400885,60,0.021421,0.084915,0.181901,0.068626,0.278529,0.041926,0.10528005500000001
Boston College,-71.16696675,42.34020153,15,0.0,0.068775,0.15937,0.21486,0.0,0.017109,0.074406047
Lechmere,-71.07707269,42.37094828,61,0.066222,0.065385,0.152473,0.119045,0.0,0.048242,0.082340808
Longwood Medical Area,-71.09953719,42.33617687,63,0.023563,0.010013,0.035389,0.050789,0.173607,0.225838,0.051645829
Longwood,-71.1099462,42.34170003,62,0.035804,0.087016,0.157999,0.043777,0.303407,0.086684,0.108057353
Museum of Fine Arts,-71.09502125,42.33791763,68,0.034274,0.07214,0.075936,0.12414,0.200649,0.261719,0.09589748999999999
Mission Park,-71.10945509,42.33320176,67,0.006916,0.068274,0.092134,0.035495,0.089237,0.139407,0.072041186
Newton Highlands,-71.20552678,42.32238296,70,0.013404,0.319643,0.460624,0.5477,0.117902,3e-06,0.266531115
Newton Centre,-71.19240201,42.32944447,69,0.018116,0.271184,0.348095,0.430714,0.146025,6.6e-05,0.21871870499999999
North Station,-71.06014973,42.36528274,72,0.72942,0.055588,0.075171,0.056245,0.230395,0.52986,0.226324181
Northeastern University,-71.08969498,42.34005713,73,0.040761,0.066106,0.074835,0.122995,0.22715,0.356779,0.10556980299999999
Park Street,-71.06245998,42.35637257,77,0.961197,0.08343,0.107795,0.072156,0.953488,0.955164,0.370559984
Pleasant Street,-71.11908597,42.35151408,78,0.038252,0.018054,0.108185,0.17957,0.327745,0.048147,0.069570164
Prudential,-71.08135881,42.3455969,80,0.06665,0.064145,0.066053,0.142786,0.278529,0.642259,0.13982763999999998
Riverside,-71.25249627,42.33743651,85,0.0,0.266154,0.62645,0.774063,0.0,0.0,0.281865496
Reservoir,-71.14825212,42.33517767,83,0.024175,0.180065,0.095103,0.148048,0.200649,0.046527,0.12147830999999996
Airport,-71.030238,42.374328,1,0.332578,0.05985,0.102138,0.443418,0.173607,0.116563,0.13669524
Aquarium,-71.05159,42.359793,5,0.417773,0.071644,0.050167,0.129839,0.22715,0.432868,0.16945634599999998
Beachmont,-70.992505,42.397202,12,0.170329,0.078826,0.161335,0.65534,0.060032,0.002979,0.12043436900000001
Bowdoin,-71.062038,42.361365,19,0.0,0.024629,0.033158,0.051808,0.0,0.708691,0.092518665
Maverick,-71.039536,42.369128,66,0.466063,0.031531,0.011993,0.324404,0.200649,0.240782,0.135528355
Orient Heights,-71.004836,42.386939,75,0.237591,0.193873,0.048477,0.53801,0.117902,0.035247,0.154257739
Revere Beach,-70.992528,42.407864,84,0.130975,0.105324,0.263055,0.765711,0.030287,0.000504,0.150664879
Suffolk Downs,-70.997122,42.390501,99,0.180794,0.140976,0.095116,0.586497,0.089237,0.014575,0.13246833
Assembly,-71.077276,42.392737,8,0.423037,0.217956,0.135194,0.35401,0.089237,0.005645,0.20442001399999998
Back Bay,-71.075566,42.347403,10,0.319726,0.049833,0.065333,0.111291,0.200649,0.672481,0.17128043799999998
Community College,-71.069684,42.37368,34,0.548748,0.198238,0.13791,0.356834,0.146025,0.099261,0.230080268
Chinatown,-71.062396,42.352638,31,0.480017,0.089856,0.102114,0.054566,0.25311,0.936901,0.250683883
Downtown Crossing,-71.060171,42.354933,39,1.0,0.085994,0.089117,0.088686,0.686858,1.0,0.36203341199999994
Forest Hills,-71.113972,42.30069,46,0.0,0.110831,0.085992,0.072855,0.0,0.06859,0.075133822
Green Street,-71.107548,42.310395,48,0.091988,0.032831,0.069601,0.08636,0.030287,0.160018,0.065520035
Jackson Square,-71.099783,42.323115,56,0.132933,0.118373,0.046369,0.0859,0.089237,0.277287,0.11693011399999999
Mass Ave,-71.083553,42.341516,65,0.277251,0.071718,0.096576,0.124767,0.173607,0.532935,0.165413802
Malden Center,-71.07429,42.426844,64,0.288329,0.242367,0.51419,0.729877,0.030287,6e-06,0.291160379
Oak Grove,-71.071099,42.43668,74,0.08544,0.232572,0.538437,0.770508,0.0,1e-06,0.26026497699999995
Roxbury Crossing,-71.095475,42.331335,87,0.163168,0.051854,0.078872,0.097506,0.117902,0.270522,0.10380995600000001
Ruggles,-71.089407,42.336646,88,0.185385,0.050731,0.093477,0.142376,0.146025,0.347376,0.121284293
Stony Brook,-71.104196,42.317229,98,0.111574,0.079569,0.110912,0.074774,0.060032,0.216561,0.10499495499999999
State,-71.057329,42.358718,97,0.824836,0.05268,0.072164,0.100008,0.3245,0.800495,0.274326925
Sullivan Square,-71.076999,42.384263,100,0.519554,0.211864,0.304996,0.249337,0.117902,0.022859,0.25886701100000004
Tufts Medical Center,-71.063917,42.349661,105,0.440113,0.069635,0.080069,0.019312,0.22715,0.726002,0.20650072399999997
Wellington,-71.077145,42.401668,110,0.393109,0.297095,0.330484,0.554316,0.060032,0.001003,0.282589219
Wood Island,-71.022898,42.379609,113,0.260175,0.050546,0.077499,0.417803,0.146025,0.046981,0.10593022799999999
Wonderland,-70.9916,42.413643,112,0.08648,0.192066,0.368391,0.804622,0.0,0.000153,0.203722565
Alewife,-71.142478,42.395426,2,0.156374,0.330628,0.489502,0.570223,0.0,7.8e-05,0.294037078
Andrew,-71.057656,42.330153,4,0.304119,0.126373,0.091525,0.15068,0.278529,0.300212,0.173891181
Ashmont,-71.063744,42.284454,7,0.0,0.136842,0.034573,0.055773,0.0,0.186795,0.084999731
Broadway,-71.056946,42.342573,24,0.320215,0.08144,0.061437,0.139893,0.303407,0.361628,0.158361759
Braintree,-71.001234,42.207267,21,0.0,1.0,1.0,1.0,0.0,0.0,0.6779999999999999
Charles/MGH,-71.070525,42.361137,28,0.570414,0.051265,0.044171,0.039409,0.173607,0.334188,0.16784575699999998
Central,-71.103591,42.365325,27,0.66736,0.142727,0.203574,0.259205,0.117902,0.008575,0.22827339099999996
Davis,-71.121816,42.396748,37,0.334843,0.124906,0.436659,0.528165,0.030287,4.2e-05,0.226178773
Fields Corner,-71.061852,42.299941,45,0.064202,0.085543,0.120053,0.244842,0.060032,0.446086,0.130562672
Harvard,-71.11896,42.37337,50,0.584981,0.235327,0.262863,0.359108,0.089237,0.003493,0.26791152
JFK/Umass,-71.052364,42.320605,57,0.117939,0.199497,0.092612,0.144263,0.258518,0.159826,0.15871228199999998
Kendall/MIT,-71.086225,42.36224,58,0.583206,0.097646,0.130923,0.136241,0.146025,0.066693,0.183261134
North Quincy,-71.030152,42.275791,71,0.111206,0.286152,0.190406,0.329032,0.117902,0.001847,0.19699397500000002
Porter,-71.119147,42.388388,79,0.455475,0.191137,0.376881,0.440278,0.060032,0.000203,0.25716479300000006
Quincy Adams,-71.007153,42.233391,81,0.020319,0.682863,0.671843,0.658842,0.030287,0.0,0.464699595
Quincy Center,-71.005502,42.251991,82,0.040884,0.536796,0.449762,0.598662,0.060032,1e-06,0.354739435
Savin Hill,-71.053332,42.311253,92,0.091254,0.164971,0.10586,0.094224,0.089237,0.163436,0.132260057
Shawmut,-71.065803,42.293129,94,0.04884,0.070245,0.086068,0.159269,0.030287,0.3105,0.095493675
South Station,-71.055105,42.351877,95,0.342065,0.145679,0.143945,0.22284,0.327745,0.506512,0.226720693
Wollaston,-71.020514,42.266769,111,0.100129,0.375055,0.282399,0.424669,0.089237,0.000105,0.254528384
