Station_Name,Lon,Lat,Station_ID,Passenger_Volume,Nearest_Police_Distance,Nearest_Fire_Distance,Nearest_Hospital_Distance,Betweenness Centrality,Crime_Index,Base_Attractiveness_Score_PM_PEAK
Park Street,-71.06245998,42.35637257,77,0.843064,0.08343,0.107795,0.072156,0.953488,0.955164,0.35189497000000003
Pleasant Street,-71.11908597,42.35151408,78,0.047817,0.018054,0.108185,0.17957,0.327745,0.048147,0.071081434
Prudential,-71.08135881,42.3455969,80,0.048315,0.064145,0.066053,0.142786,0.278529,0.642259,0.13693070999999998
Riverside,-71.25249627,42.33743651,85,0.0,0.266154,0.62645,0.774063,0.0,0.0,0.281865496
Reservoir,-71.14825212,42.33517767,83,0.029637,0.180065,0.095103,0.148048,0.200649,0.046527,0.12234130599999997
Riverway,-71.11190623,42.33154314,86,0.00402,0.068153,0.115492,0.058063,0.060032,0.103419,0.07233052100000001
Saint Marys Street,-71.1074133,42.34593902,89,0.032198,0.121399,0.142147,0.088697,0.327745,0.094229,0.121199198
South Street,-71.15725216,42.33947194,96,0.001139,0.109149,0.087457,0.140099,0.030287,0.052356,0.077040295
Science Park,-71.06781746,42.36674975,93,0.054791,0.081144,0.093337,0.051877,0.030287,0.235428,0.09190043099999998
Sutherland Road,-71.14627236,42.34157797,102,0.006582,0.103452,0.082064,0.041858,0.117902,0.108098,0.082606
Saint Paul Street C,-71.11726117,42.34320646,91,0.049276,0.085248,0.201486,0.088987,0.25311,0.033287,0.112686311
Saint Paul Street(B),-71.11631147,42.35118253,90,0.028747,0.028438,0.133932,0.140999,0.351541,0.035601,0.07761515
Summit Avenue,-71.12577232,42.3410482,101,0.017433,0.094013,0.210275,0.136297,0.200649,0.030586,0.111204531
Symphony,-71.08485866,42.34268955,103,0.034048,0.034766,0.059777,0.098339,0.25311,0.523354,0.10612880999999999
Tappan Street,-71.13845491,42.33853131,104,0.007792,0.125078,0.18669,0.09611,0.089237,0.049519,0.110676934
Waban,-71.23056452,42.32580887,106,0.017006,0.244466,0.585102,0.67711,0.060032,0.0,0.266644792
Washington Street,-71.14262516,42.34404537,109,0.008859,0.105901,0.115313,0.040459,0.146025,0.134398,0.096396447
Woodland,-71.24336702,42.3329034,114,0.014907,0.18964,0.585577,0.731571,0.030287,0.0,0.243769555
Warren Street,-71.14041885,42.34839892,107,0.013342,0.111466,0.121071,0.043908,0.173607,0.154599,0.104628494
Airport,-71.030238,42.374328,1,0.08151,0.05985,0.102138,0.443418,0.173607,0.116563,0.09702649599999999
Aquarium,-71.05159,42.359793,5,0.112392,0.071644,0.050167,0.129839,0.22715,0.432868,0.121206148
Beachmont,-70.992505,42.397202,12,0.033301,0.078826,0.161335,0.65534,0.060032,0.002979,0.09878394500000001
Assembly,-71.077276,42.392737,8,0.113032,0.217956,0.135194,0.35401,0.089237,0.005645,0.155439224
Bowdoin,-71.062038,42.361365,19,0.0,0.024629,0.033158,0.051808,0.0,0.708691,0.092518665
Back Bay,-71.075566,42.347403,10,0.365034,0.049833,0.065333,0.111291,0.200649,0.672481,0.17843910200000002
Community College,-71.069684,42.37368,34,0.172377,0.198238,0.13791,0.356834,0.146025,0.099261,0.17061365
Chinatown,-71.062396,42.352638,31,0.371367,0.089856,0.102114,0.054566,0.25311,0.936901,0.233517183
Maverick,-71.039536,42.369128,66,0.112072,0.031531,0.011993,0.324404,0.200649,0.240782,0.07959777700000001
Downtown Crossing,-71.060171,42.354933,39,1.0,0.085994,0.089117,0.088686,0.686858,1.0,0.36203341199999994
Forest Hills,-71.113972,42.30069,46,0.0,0.110831,0.085992,0.072855,0.0,0.06859,0.075133822
Orient Heights,-71.004836,42.386939,75,0.047533,0.193873,0.048477,0.53801,0.117902,0.035247,0.124228575
Green Street,-71.107548,42.310395,48,0.159569,0.032831,0.069601,0.08636,0.030287,0.160018,0.07619783299999999
Revere Beach,-70.992528,42.407864,84,0.025794,0.105324,0.263055,0.765711,0.030287,0.000504,0.134046281
Suffolk Downs,-70.997122,42.390501,99,0.035472,0.140976,0.095116,0.586497,0.089237,0.014575,0.10950745399999999
Jackson Square,-71.099783,42.323115,56,0.25225,0.118373,0.046369,0.0859,0.089237,0.277287,0.1357822
State,-71.057329,42.358718,97,0.372576,0.05268,0.072164,0.100008,0.3245,0.800495,0.202869845
Mass Ave,-71.083553,42.341516,65,0.348525,0.071718,0.096576,0.124767,0.173607,0.532935,0.176675094
Wood Island,-71.022898,42.379609,113,0.05632,0.050546,0.077499,0.417803,0.146025,0.046981,0.073721138
Malden Center,-71.07429,42.426844,64,0.048636,0.242367,0.51419,0.729877,0.030287,6e-06,0.253288885
Wonderland,-70.9916,42.413643,112,0.01569,0.192066,0.368391,0.804622,0.0,0.000153,0.19253774499999998
Oak Grove,-71.071099,42.43668,74,0.015121,0.232572,0.538437,0.770508,0.0,1e-06,0.24915457500000002
Roxbury Crossing,-71.095475,42.331335,87,0.300388,0.051854,0.078872,0.097506,0.117902,0.270522,0.125490716
Ruggles,-71.089407,42.336646,88,0.320134,0.050731,0.093477,0.142376,0.146025,0.347376,0.142574635
Stony Brook,-71.104196,42.317229,98,0.203223,0.079569,0.110912,0.074774,0.060032,0.216561,0.119475497
Sullivan Square,-71.076999,42.384263,100,0.150674,0.211864,0.304996,0.249337,0.117902,0.022859,0.20058397099999997
Tufts Medical Center,-71.063917,42.349661,105,0.381044,0.069635,0.080069,0.019312,0.22715,0.726002,0.197167822
Wellington,-71.077145,42.401668,110,0.079624,0.297095,0.330484,0.554316,0.060032,0.001003,0.23305858899999998
Alewife,-71.142478,42.395426,2,0.07041,0.330628,0.489502,0.570223,0.0,7.8e-05,0.28045476599999997
Andrew,-71.057656,42.330153,4,0.587042,0.126373,0.091525,0.15068,0.278529,0.300212,0.21859301500000003
Ashmont,-71.063744,42.284454,7,0.0,0.136842,0.034573,0.055773,0.0,0.186795,0.084999731
Broadway,-71.056946,42.342573,24,0.62198,0.08144,0.061437,0.139893,0.303407,0.361628,0.206040629
Braintree,-71.001234,42.207267,21,0.0,1.0,1.0,1.0,0.0,0.0,0.6779999999999999
Charles/MGH,-71.070525,42.361137,28,0.493649,0.051265,0.044171,0.039409,0.173607,0.334188,0.155716887
Central,-71.103591,42.365325,27,0.283559,0.142727,0.203574,0.259205,0.117902,0.008575,0.16763283299999998
Davis,-71.121816,42.396748,37,0.10492,0.124906,0.436659,0.528165,0.030287,4.2e-05,0.189850939
Fields Corner,-71.061852,42.299941,45,0.135767,0.085543,0.120053,0.244842,0.060032,0.446086,0.14186994199999997
Harvard,-71.11896,42.37337,50,0.229872,0.235327,0.262863,0.359108,0.089237,0.003493,0.211804298
JFK/Umass,-71.052364,42.320605,57,0.282848,0.199497,0.092612,0.144263,0.258518,0.159826,0.18476790399999998
Kendall/MIT,-71.086225,42.36224,58,0.441598,0.097646,0.130923,0.136241,0.146025,0.066693,0.16088707000000002
North Quincy,-71.030152,42.275791,71,0.287864,0.286152,0.190406,0.329032,0.117902,0.001847,0.22490593899999997
Porter,-71.119147,42.388388,79,0.127086,0.191137,0.376881,0.440278,0.060032,0.000203,0.20527933100000004
Quincy Adams,-71.007153,42.233391,81,0.067065,0.682863,0.671843,0.658842,0.030287,0.0,0.472085463
Quincy Center,-71.005502,42.251991,82,0.133668,0.536796,0.449762,0.598662,0.060032,1e-06,0.36939930699999995
Savin Hill,-71.053332,42.311253,92,0.178141,0.164971,0.10586,0.094224,0.089237,0.163436,0.145988203
Shawmut,-71.065803,42.293129,94,0.101967,0.070245,0.086068,0.159269,0.030287,0.3105,0.10388774099999999
South Station,-71.055105,42.351877,95,0.649589,0.145679,0.143945,0.22284,0.327745,0.506512,0.27530948499999996
Wollaston,-71.020514,42.266769,111,0.236631,0.375055,0.282399,0.424669,0.089237,0.000105,0.2760957
